 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
1   ;HD 200253                          ;*  ;21 01 12.8647634688 +36 01 33.642578532;5.387     ;5.997    
2   ;* 61 Cyg B                         ;Er*;21 06 55.2638444466 +38 44 31.358519864;286.0054  ;6.03     
3   ;* tau Cyg                          ;dS*;21 14 47.49252 +38 02 43.1441          ;49.16     ;3.730    
4   ;* 61 Cyg A                         ;BY*;21 06 53.9395895022 +38 44 57.902349973;285.9949  ;5.21     
5   ;* sig Cyg                          ;sg*;21 17 24.9522700076 +39 23 40.847039148;1.1711    ;4.24     
6   ;V* V1334 Cyg                       ;cC*;21 19 22.1791528656 +38 14 14.868825648;1.0831    ;5.882    
7   ;* 74 Cyg                           ;*  ;21 36 56.9752120080 +40 24 48.692268180;15.2874   ;5.035    
8   ;HD 206749                          ;V* ;21 43 06.4713509160 +41 09 17.902709244;5.7176    ;5.505    
9   ;HD 207673                          ;*  ;21 49 40.0940581200 +41 08 55.633325604;0.6249    ;6.48     
10  ;* 77 Cyg                           ;SB*;21 42 22.9588733 +41 04 37.273655      ;7.91      ;5.726    
11  ;* 76 Cyg                           ;PM*;21 41 34.2554097048 +40 48 18.790889112;7.3274    ;6.075    
12  ;HD 211211                          ;PM*;22 14 44.3613363960 +42 57 14.038829388;12.1647   ;5.720    
13  ;* 6 Lac                            ;SB*;22 30 29.2606939494 +43 07 24.155257733;2.8367    ;4.511    
14  ;HD 215664                          ;dS*;22 46 10.2221219664 +44 32 45.797281332;17.8595   ;5.840    
15  ;HD 214558                          ;** ;22 38 17.3968125552 +45 10 58.557035064;4.5807    ;6.370    
16  ;* 11 Lac                           ;PM*;22 40 30.8584750462 +44 16 34.706857320;9.3170    ;4.46     
17  ;HD 217491                          ;*  ;23 00 34.3932651480 +45 22 29.301315672;1.7835    ;6.490    
18  ;HD 217731                          ;*  ;23 02 11.3247325080 +44 34 22.292619384;8.166     ;6.43     
19  ;* 4 And                            ;*  ;23 07 39.2672021448 +46 23 14.030186820;9.155     ;5.294    
20  ;HD 219668                          ;PM*;23 17 16.6735839312 +45 09 51.000175260;11.8059   ;6.455    
21  ;V* ET And                          ;a2*;23 17 56.0115388728 +45 29 20.119357248;5.5370    ;6.479    
22  ;HD 221661                          ;*  ;23 33 42.9856982760 +45 03 29.143964844;6.1629    ;6.246    
23  ;HD 223229                          ;EB*;23 47 33.0491881873 +46 49 57.221688449;1.9698    ;6.13     
24  ;* psi And                          ;** ;23 46 02.0470343064 +46 25 12.986458896;1.6352    ;4.966    
25  ;* lam And                          ;RS*;23 37 33.8427800830 +46 27 29.344721109;38.5736   ;3.82     
26  ;HD 222641                          ;V* ;23 42 14.6669334792 +44 59 30.173561160;4.2001    ;6.410    
27  ;HD 224165                          ;*  ;23 55 33.4754737152 +47 21 20.893767696;1.9092    ;5.989    
28  ;* 22 And                           ;*  ;00 10 19.2465004853 +46 04 20.175741831;2.1782    ;5.04     
29  ;V* CG And                          ;a2*;00 00 43.6344938328 +45 15 12.007059804;5.5784    ;6.347    
30  ;* pi. Cas                          ;SB*;00 43 28.0696827024 +47 01 28.364798856;18.6293   ;4.949    
31  ;HD 5526                            ;*  ;00 57 39.6449343696 +45 50 21.768358776;7.8931    ;6.086    
32  ;V* GO And                          ;a2*;00 50 18.2653153128 +45 00 08.135537076;9.6184    ;6.15     
33  ;HD 4335                            ;*  ;00 46 10.8119890296 +44 51 41.399778060;6.0502    ;6.024    
34  ;HD 5789                            ;*  ;01 00 03.5576514672 +44 42 47.691064620;6.7294    ;6.05     
35  ;HD 7647                            ;*  ;01 17 05.0645837232 +44 54 07.171409160;4.0384    ;6.110    
36  ;* ksi And                          ;*  ;01 22 20.4200755704 +45 31 43.596248844;14.6042   ;4.868    
37  ;HD 7158                            ;*  ;01 12 34.0828717560 +45 20 15.105857928;3.5214    ;6.110    
38  ;HD 8671                            ;PM*;01 26 18.6862929120 +43 27 27.869935680;23.4377   ;5.978    
39  ;* ome And                          ;** ;01 27 39.3807155195 +45 24 24.065127426;34.7332   ;4.83     
40  ;* chi And                          ;SB*;01 39 20.9885732088 +44 23 10.229915472;12.3592   ;5.008    
41  ;HD 10204                           ;PM*;01 40 39.6574577184 +43 17 51.612331380;11.7559   ;5.629    
